,roles,companies,locations,experience,skills
0,Service Desk Engineer,Wipro,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' navi mumbai', ' mysore/mysuru', ' bangalore/bengaluru', ' mumbai (all areas)', ' pune']",0-5 Yrs,"['communication skills', 'customer support', 'service desk', 'customer service', 'it helpdesk', 'voice process', 'it support', 'system support']"
1,Technical Support Engineer,Wipro,"['hyderabad/secunderabad', ' navi mumbai', ' pune', ' bangalore/bengaluru']",0-5 Yrs,"['installation', 'configuration', 'troubleshooting', 'customer support', 'technical support', 'vpn', 'mac', 'active directory']"
2,Content Developer Associate Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",2-5 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'communication', 'written', 'interpersonal skills']"
3,Analytics and Modeling Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",6-11 Yrs,"['jquery', 'xml', 'project management', 'javascript', 'agile', 'data analysis', 'consulting', 'spss']"
4,Content Lead - Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",8-13 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'interpersonal skills', 'sales enablement', 'content development']"
5,Product & Content Developer Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",2-5 Yrs,"['product management', 'business process', 'agile', 'marketing strategy', 'technology operations', 'communication', 'written', 'strategy consulting']"
6,Mobility Compliance Senior Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",4-7 Yrs,"['business process', 'consulting', 'auditing', 'business operations', 'customer interaction', 'operational excellence', 'hp data protector', 'standard operating procedures']"
7,HCL Hiring Mulesoft Developer || PAN India || 3-Dec Virtual drive,HCLTech,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-11 Yrs,"['mulesoft developer', 'xpath', 'mulesoft integration', 'xml', 'mule esb', 'j2ee', 'jmeter']"
8,E2E Solution Designer / Solution Architect/Business analyst (oss/bss),Tech Mahindra,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-9 Yrs,"['e2e solution design', 'solution architecting', 'oss / bss', 'telecom', 'component design', 'etom']"
9,Presales Architect,Tech Mahindra,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",12-17 Yrs,"['presales consulting', 'siem', 'cyber security', 'managed security services', 'security operations', 'shared services']"
10,Instructional Designer,Accenture,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['instructional design', 'instructional designing', 'articulate', 'walkme', 'lectora', 'development', 'captivate', 'camtasia']"
